tanggal,Produk,penjualan
2024-04-21,Capuccino / ICE,5
2024-04-21,Kopi Aren / ICE,5
2024-04-21,Matcha Coffee / ICE,1
2024-04-22,Capuccino / ICE,1
2024-04-22,Espresso / ICE,2
2024-04-22,Kopi Aren / ICE,3
2024-04-22,Mocha / ICE,1
2024-04-22,Salted Caramel Machiato / ICE,1
2024-04-23,Avocado Coffee / ICE,1
2024-04-23,Capuccino / ICE,1
2024-04-23,Kopi Aren / ICE,4
2024-04-23,Kopi Pandan / ICE,3
2024-04-23,Rum Coffee / ICE,1
2024-04-24,Americano / ICE,1
2024-04-24,Butterscotch Coffee / ICE,3
2024-04-24,Capuccino / ICE,1
2024-04-24,Kopi Aren / ICE,2
2024-04-24,Salted Caramel Machiato / ICE,1
2024-04-25,Capuccino / ICE,1
2024-04-25,Hazelnut Coffee / ICE,2
2024-04-25,Kopi Aren / ICE,5
2024-04-25,Rum Coffee / ICE,1
2024-04-26,Americano / ICE,1
2024-04-26,Capuccino / ICE,1
2024-04-26,Hazelnut Coffee / HOT,1
2024-04-26,Kopi Aren / HOT,1
2024-04-26,Kopi Aren / ICE,3
2024-04-26,Matcha Coffee / ICE,1
2024-04-26,Mocha / ICE,2
2024-04-26,Signature Coffee / ICE,1
2024-04-27,Americano / HOT,1
2024-04-27,Butterscotch Coffee / ICE,2
2024-04-27,Kopi Aren / ICE,4
2024-04-27,Longblack / ICE,1
2024-04-27,Rum Coffee / ICE,1
2024-04-27,Strawberry Coffee / ICE,1
2024-04-28,Americano / ICE,2
2024-04-28,Butterscotch Coffee / ICE,1
2024-04-28,Capuccino / HOT,2
2024-04-28,Kopi Aren / ICE,1
2024-04-28,Rum Coffee / ICE,1
2024-04-28,Salted Caramel Machiato / ICE,4
2024-04-28,Signature Coffee / ICE,1
2024-04-29,Americano / ICE,1
2024-04-29,Capuccino / ICE,1
2024-04-29,Hazelnut Coffee / HOT,1
2024-04-29,Hazelnut Coffee / ICE,2
2024-04-29,Kopi Aren / ICE,1
2024-04-29,Signature Coffee / ICE,1
2024-04-30,Butterscotch Coffee / HOT,1
2024-04-30,Kopi Aren / ICE,4
2024-04-30,Mocha / ICE,1
2024-04-30,Rum Coffee / ICE,2
2024-04-30,Salted Caramel Machiato / ICE,2
2024-05-01,Americano / ICE,2
2024-05-01,Capuccino / ICE,1
2024-05-01,Hazelnut Coffee / ICE,1
2024-05-01,Kopi Aren / HOT,3
2024-05-01,Kopi Aren / ICE,2
2024-05-02,Americano / ICE,2
2024-05-02,Kopi Aren / ICE,4
2024-05-02,Salted Caramel Machiato / ICE,2
2024-05-03,Americano / ICE,3
2024-05-03,Capuccino / ICE,3
2024-05-03,Espresso / ICE,1
2024-05-03,Kopi Aren / ICE,4
2024-05-04,Americano / ICE,2
2024-05-04,Butterscotch Coffee / ICE,2
2024-05-04,Capuccino / ICE,1
2024-05-04,Kopi Aren / ICE,4
2024-05-04,Mocha / ICE,2
2024-05-05,Americano / ICE,3
2024-05-05,Avocado Coffee / ICE,2
2024-05-05,Capuccino / ICE,4
2024-05-05,Hazelnut Coffee / ICE,1
2024-05-05,Kopi Aren / ICE,2
2024-05-05,Signature Coffee / ICE,1
2024-05-06,Americano / HOT,1
2024-05-06,Americano / ICE,1
2024-05-06,Avocado Coffee / ICE,2
2024-05-06,Hazelnut Coffee / ICE,1
2024-05-06,Kopi Aren / HOT,1
2024-05-06,Kopi Aren / ICE,1
2024-05-06,Salted Caramel Machiato / HOT,2
2024-05-06,Salted Caramel Machiato / ICE,1
2024-05-07,Americano / ICE,2
2024-05-07,Capuccino / ICE,1
2024-05-07,Kopi Aren / HOT,1
2024-05-07,Salted Caramel Machiato / ICE,2
2024-05-08,Butterscotch Coffee / ICE,1
2024-05-08,Hazelnut Coffee / ICE,3
2024-05-08,Kopi Aren / ICE,5
2024-05-08,Salted Caramel Machiato / ICE,1
2024-05-09,Americano / ICE,1
2024-05-09,Butterscotch Coffee / ICE,1
2024-05-09,Capuccino / ICE,4
2024-05-09,Hazelnut Coffee / ICE,1
2024-05-09,Kopi Aren / ICE,2
2024-05-10,Americano / HOT,3
2024-05-10,Americano / ICE,3
2024-05-10,Capuccino / ICE,1
2024-05-10,Kopi Aren / ICE,4
2024-05-11,Butterscotch Coffee / ICE,1
2024-05-11,Capuccino / ICE,1
2024-05-11,Hazelnut Coffee / ICE,3
2024-05-11,Kopi Aren / HOT,2
2024-05-11,Kopi Aren / ICE,4
2024-05-11,Signature Coffee / ICE,2
2024-05-12,Americano / HOT,1
2024-05-12,Americano / ICE,1
2024-05-12,Butterscotch Coffee / HOT,1
2024-05-12,Capuccino / ICE,1
2024-05-12,Espresso / ICE,1
2024-05-12,Hazelnut Coffee / ICE,3
2024-05-12,Kopi Aren / ICE,2
2024-05-12,Mocha / ICE,1
2024-05-13,Americano / ICE,2
2024-05-13,Hazelnut Coffee / ICE,1
2024-05-13,Kopi Aren / HOT,3
2024-05-13,Kopi Aren / ICE,3
2024-05-14,Americano / ICE,2
2024-05-14,Capuccino / ICE,2
2024-05-14,Hazelnut Coffee / ICE,2
2024-05-14,Kopi Aren / ICE,1
2024-05-15,Americano / ICE,4
2024-05-15,Hazelnut Coffee / ICE,2
2024-05-15,Kopi Aren / ICE,4
2024-05-15,Matcha Coffee / ICE,1
2024-05-16,Americano / ICE,2
2024-05-16,Capuccino / ICE,1
2024-05-16,Espresso / HOT,1
2024-05-16,Hazelnut Coffee / ICE,3
2024-05-16,Kopi Aren / ICE,2
2024-05-17,Capuccino / ICE,1
2024-05-17,Hazelnut Coffee / ICE,1
2024-05-17,Kopi Aren / ICE,6
2024-05-17,Kopi Pandan / ICE,3
2024-05-17,Strawberry Coffee / ICE,1
2024-05-18,Americano / ICE,1
2024-05-18,Avocado Coffee / ICE,1
2024-05-18,Butterscotch Coffee / ICE,1
2024-05-18,Capuccino / HOT,1
2024-05-18,Espresso / HOT,2
2024-05-18,Hazelnut Coffee / ICE,2
2024-05-18,Kopi Aren / ICE,1
2024-05-18,Mocha / ICE,1
2024-05-18,Salted Caramel Machiato / ICE,4
2024-05-19,Americano / ICE,1
2024-05-19,Avocado Coffee / ICE,2
2024-05-19,Hazelnut Coffee / ICE,1
2024-05-19,Kopi Aren / ICE,6
2024-05-19,Kopi Pandan / ICE,1
2024-05-20,Americano / ICE,2
2024-05-20,Avocado Coffee / ICE,1
2024-05-20,Kopi Aren / ICE,5
2024-05-20,Mocha / ICE,1
2024-05-20,Rum Coffee / ICE,1
2024-05-20,Salted Caramel Machiato / HOT,1
2024-05-21,Americano / ICE,1
2024-05-21,Butterscotch Coffee / ICE,1
2024-05-21,Capuccino / ICE,1
2024-05-21,Espresso / HOT,2
2024-05-21,Kopi Aren / HOT,1
2024-05-21,Kopi Aren / ICE,3
2024-05-22,Americano / HOT,1
2024-05-22,Capuccino / ICE,3
2024-05-22,Hazelnut Coffee / ICE,1
2024-05-22,Kopi Aren / ICE,4
2024-05-23,Americano / ICE,1
2024-05-23,Butterscotch Coffee / ICE,1
2024-05-23,Capuccino / ICE,2
2024-05-23,Kopi Aren / ICE,3
2024-05-23,Matcha Coffee / ICE,2
2024-05-24,Americano / ICE,2
2024-05-24,Espresso / ICE,1
2024-05-24,Hazelnut Coffee / ICE,2
2024-05-24,Kopi Aren / HOT,3
2024-05-24,Kopi Aren / ICE,2
2024-05-24,Signature Coffee / ICE,1
2024-05-25,Americano / ICE,5
2024-05-25,Kopi Aren / HOT,2
2024-05-25,Kopi Aren / ICE,5
2024-05-25,Kopi Pandan / ICE,1
2024-05-25,Mocha / ICE,1
2024-05-25,Salted Caramel Machiato / ICE,1
2024-05-25,Signature Coffee / HOT,2
2024-05-26,Americano / ICE,2
2024-05-26,Butterscotch Coffee / HOT,1
2024-05-26,Capuccino / ICE,3
2024-05-26,Hazelnut Coffee / ICE,1
2024-05-26,Kopi Aren / ICE,4
2024-05-27,Avocado Coffee / ICE,1
2024-05-27,Butterscotch Coffee / ICE,1
2024-05-27,Capuccino / ICE,2
2024-05-27,Kopi Aren / HOT,1
2024-05-27,Kopi Aren / ICE,2
2024-05-27,Kopi Pandan / ICE,2
2024-05-28,Americano / ICE,4
2024-05-28,Capuccino / ICE,2
2024-05-28,Hazelnut Coffee / ICE,2
2024-05-28,Kopi Aren / ICE,3
2024-05-28,Salted Caramel Machiato / ICE,1
2024-05-29,Americano / ICE,1
2024-05-29,Capuccino / ICE,3
2024-05-29,Hazelnut Coffee / ICE,2
2024-05-29,Kopi Aren / ICE,2
2024-05-30,Americano / ICE,1
2024-05-30,Avocado Coffee / HOT,1
2024-05-30,Capuccino / ICE,3
2024-05-30,Kopi Aren / HOT,2
2024-05-30,Matcha Coffee / ICE,1
2024-05-30,Rum Coffee / ICE,2
2024-05-31,Americano / HOT,1
2024-05-31,Americano / ICE,1
2024-05-31,Butterscotch Coffee / ICE,1
2024-05-31,Capuccino / ICE,1
2024-05-31,Kopi Aren / HOT,1
2024-05-31,Kopi Aren / ICE,3
2024-05-31,Salted Caramel Machiato / ICE,1
2024-06-01,Butterscotch Coffee / ICE,1
2024-06-01,Capuccino / HOT,1
2024-06-01,Capuccino / ICE,1
2024-06-01,Hazelnut Coffee / ICE,1
2024-06-01,Kopi Aren / ICE,4
2024-06-01,Matcha Coffee / ICE,1
2024-06-01,Rum Coffee / ICE,2
2024-06-02,Americano / ICE,3
2024-06-02,Hazelnut Coffee / ICE,2
2024-06-02,Kopi Aren / HOT,1
2024-06-02,Kopi Aren / ICE,4
2024-06-02,Kopi Pandan / ICE,1
2024-06-02,Signature Coffee / ICE,1
2024-06-03,Americano / HOT,1
2024-06-03,Butterscotch Coffee / ICE,1
2024-06-03,Capuccino / ICE,1
2024-06-03,Kopi Aren / ICE,4
2024-06-03,Signature Coffee / ICE,3
2024-06-04,Americano / HOT,1
2024-06-04,Hazelnut Coffee / ICE,2
2024-06-04,Kopi Aren / ICE,3
2024-06-04,Kopi Pandan / ICE,1
2024-06-04,Matcha Coffee / ICE,1
2024-06-05,Americano / HOT,1
2024-06-05,Americano / ICE,1
2024-06-05,Avocado Coffee / ICE,1
2024-06-05,Capuccino / ICE,1
2024-06-05,Kopi Aren / HOT,1
2024-06-05,Longblack / ICE,1
2024-06-05,Rum Coffee / ICE,2
2024-06-05,Salted Caramel Machiato / HOT,2
2024-06-05,Salted Caramel Machiato / ICE,1
2024-06-06,Avocado Coffee / ICE,1
2024-06-06,Capuccino / ICE,6
2024-06-06,Kopi Aren / ICE,5
2024-06-07,Americano / ICE,4
2024-06-07,Kopi Aren / ICE,6
2024-06-07,Longblack / HOT,1
2024-06-07,Mocha / ICE,1
2024-06-07,Salted Caramel Machiato / ICE,2
2024-06-08,Americano / ICE,4
2024-06-08,Butterscotch Coffee / ICE,1
2024-06-08,Capuccino / ICE,2
2024-06-08,Kopi Aren / ICE,4
2024-06-08,Kopi Pandan / HOT,1
2024-06-08,Salted Caramel Machiato / ICE,1
2024-06-09,Americano / HOT,1
2024-06-09,Americano / ICE,2
2024-06-09,Avocado Coffee / ICE,1
2024-06-09,Butterscotch Coffee / ICE,1
2024-06-09,Kopi Aren / HOT,2
2024-06-09,Kopi Aren / ICE,2
2024-06-09,Salted Caramel Machiato / ICE,1
2024-06-09,Signature Coffee / ICE,1
2024-06-10,Americano / ICE,5
2024-06-10,Capuccino / ICE,1
2024-06-10,Kopi Aren / ICE,3
2024-06-10,Signature Coffee / ICE,1
2024-06-11,Americano / ICE,1
2024-06-11,Butterscotch Coffee / ICE,1
2024-06-11,Kopi Aren / ICE,3
2024-06-11,Mocha / ICE,1
2024-06-11,Salted Caramel Machiato / ICE,1
2024-06-11,Signature Coffee / ICE,1
2024-06-12,Capuccino / ICE,4
2024-06-12,Hazelnut Coffee / ICE,2
2024-06-12,Kopi Aren / HOT,1
2024-06-12,Kopi Aren / ICE,2
2024-06-12,Matcha Coffee / ICE,1
2024-06-13,Capuccino / ICE,1
2024-06-13,Hazelnut Coffee / HOT,1
2024-06-13,Hazelnut Coffee / ICE,2
2024-06-13,Kopi Aren / HOT,4
2024-06-13,Kopi Aren / ICE,1
2024-06-13,Signature Coffee / ICE,1
2024-06-14,Americano / HOT,4
2024-06-14,Americano / ICE,1
2024-06-14,Capuccino / HOT,1
2024-06-14,Capuccino / ICE,1
2024-06-14,Hazelnut Coffee / ICE,3
2024-06-14,Matcha Coffee / HOT,2
2024-06-14,Signature Coffee / ICE,2
2024-06-14,Strawberry Coffee / ICE,1
2024-06-15,Avocado Coffee / ICE,1
2024-06-15,Butterscotch Coffee / ICE,1
2024-06-15,Capuccino / ICE,3
2024-06-15,Espresso / HOT,2
2024-06-15,Hazelnut Coffee / ICE,2
2024-06-15,Kopi Aren / ICE,5
2024-06-15,Matcha Coffee / ICE,2
2024-06-16,Americano / ICE,1
2024-06-16,Kopi Aren / HOT,1
2024-06-16,Kopi Aren / ICE,2
2024-06-16,Rum Coffee / ICE,1
2024-06-16,Salted Caramel Machiato / HOT,3
2024-06-16,Signature Coffee / ICE,3
2024-06-16,Strawberry Coffee / ICE,2
2024-06-17,Americano / ICE,4
2024-06-17,Avocado Coffee / ICE,2
2024-06-17,Capuccino / HOT,1
2024-06-17,Capuccino / ICE,1
2024-06-17,Kopi Aren / ICE,3
2024-06-18,Americano / ICE,2
2024-06-18,Butterscotch Coffee / ICE,1
2024-06-18,Hazelnut Coffee / ICE,1
2024-06-18,Kopi Aren / ICE,3
2024-06-19,Butterscotch Coffee / ICE,2
2024-06-19,Hazelnut Coffee / ICE,1
2024-06-19,Kopi Aren / HOT,1
2024-06-19,Kopi Aren / ICE,4
2024-06-19,Kopi Pandan / ICE,2
2024-06-20,Americano / ICE,4
2024-06-20,Butterscotch Coffee / ICE,1
2024-06-20,Capuccino / ICE,1
2024-06-20,Kopi Aren / ICE,4
2024-06-21,Americano / ICE,2
2024-06-21,Avocado Coffee / ICE,1
2024-06-21,Kopi Aren / HOT,1
2024-06-21,Kopi Aren / ICE,3
2024-06-21,Rum Coffee / HOT,2
2024-06-21,Rum Coffee / ICE,1
2024-06-21,Signature Coffee / ICE,2
2024-06-22,Americano / ICE,1
2024-06-22,Capuccino / ICE,2
2024-06-22,Hazelnut Coffee / HOT,1
2024-06-22,Hazelnut Coffee / ICE,1
2024-06-22,Kopi Aren / HOT,1
2024-06-22,Kopi Aren / ICE,6
2024-06-22,Signature Coffee / ICE,1
2024-06-23,Americano / ICE,1
2024-06-23,Avocado Coffee / HOT,1
2024-06-23,Avocado Coffee / ICE,1
2024-06-23,Capuccino / ICE,1
2024-06-23,Hazelnut Coffee / ICE,4
2024-06-23,Kopi Aren / ICE,6
2024-06-23,Salted Caramel Machiato / ICE,3
2024-06-24,Avocado Coffee / ICE,1
2024-06-24,Capuccino / ICE,3
2024-06-24,Kopi Aren / ICE,2
2024-06-24,Kopi Pandan / ICE,2
2024-06-24,Rum Coffee / ICE,2
2024-06-24,Salted Caramel Machiato / ICE,1
2024-06-25,Americano / ICE,2
2024-06-25,Capuccino / ICE,3
2024-06-25,Kopi Aren / ICE,3
2024-06-25,Mocha / ICE,2
2024-06-25,Signature Coffee / ICE,1
2024-06-26,Capuccino / ICE,4
2024-06-26,Hazelnut Coffee / ICE,1
2024-06-26,Kopi Aren / ICE,3
2024-06-26,Kopi Pandan / ICE,1
2024-06-26,Rum Coffee / ICE,1
2024-06-27,Americano / ICE,1
2024-06-27,Capuccino / HOT,2
2024-06-27,Capuccino / ICE,2
2024-06-27,Kopi Aren / ICE,6
2024-06-27,Matcha Coffee,1
2024-06-27,Matcha Coffee / ICE,1
2024-06-28,Avocado Coffee / HOT,2
2024-06-28,Butterscotch Coffee / ICE,2
2024-06-28,Capuccino / ICE,3
2024-06-28,Kopi Aren / ICE,2
2024-06-28,Longblack / HOT,1
2024-06-28,Salted Caramel Machiato / ICE,1
2024-06-28,Signature Coffee / ICE,1
2024-06-29,Americano / ICE,3
2024-06-29,Kopi Aren / HOT,1
2024-06-29,Kopi Aren / ICE,6
2024-06-29,Matcha Coffee / ICE,1
2024-06-29,Signature Coffee / HOT,1
2024-06-30,Butterscotch Coffee / ICE,1
2024-06-30,Capuccino / ICE,2
2024-06-30,Hazelnut Coffee / ICE,1
2024-06-30,Kopi Aren / ICE,5
2024-06-30,Salted Caramel Machiato / ICE,2
2024-06-30,Signature Coffee / ICE,1
2024-07-01,Americano / HOT,3
2024-07-01,Butterscotch Coffee / HOT,1
2024-07-01,Capuccino / ICE,2
2024-07-01,Hazelnut Coffee / ICE,2
2024-07-01,Kopi Aren / ICE,2
2024-07-01,Matcha Coffee / ICE,1
2024-07-02,Americano / ICE,2
2024-07-02,Butterscotch Coffee / ICE,1
2024-07-02,Capuccino / ICE,2
2024-07-02,Kopi Aren / ICE,4
2024-07-02,Salted Caramel Machiato / ICE,1
2024-07-03,Americano / HOT,1
2024-07-03,Capuccino / ICE,3
2024-07-03,Kopi Aren / ICE,4
2024-07-03,Rum Coffee / ICE,1
2024-07-03,Salted Caramel Machiato / ICE,1
2024-07-04,Hazelnut Coffee / ICE,2
2024-07-04,Kopi Aren / HOT,2
2024-07-04,Kopi Aren / ICE,5
2024-07-04,Rum Coffee / ICE,2
2024-07-04,Salted Caramel Machiato / ICE,2
2024-07-05,Americano / ICE,1
2024-07-05,Butterscotch Coffee / ICE,1
2024-07-05,Capuccino / HOT,1
2024-07-05,Capuccino / ICE,1
2024-07-05,Kopi Aren / ICE,5
2024-07-05,Kopi Pandan / ICE,1
2024-07-05,Salted Caramel Machiato / ICE,2
2024-07-06,Americano / ICE,4
2024-07-06,Capuccino / ICE,1
2024-07-06,Hazelnut Coffee / ICE,3
2024-07-06,Kopi Aren / ICE,7
2024-07-06,Rum Coffee / ICE,1
2024-07-07,Americano / ICE,2
2024-07-07,Butterscotch Coffee / ICE,3
2024-07-07,Capuccino / ICE,2
2024-07-07,Hazelnut Coffee / HOT,1
2024-07-07,Hazelnut Coffee / ICE,2
2024-07-07,Kopi Aren / ICE,4
2024-07-07,Matcha Coffee / ICE,1
2024-07-08,Americano / ICE,1
2024-07-08,Butterscotch Coffee,1
2024-07-08,Hazelnut Coffee / ICE,1
2024-07-08,Kopi Aren / ICE,2
2024-07-08,Matcha Coffee / ICE,3
2024-07-08,Signature Coffee / ICE,1
2024-07-09,Americano / ICE,3
2024-07-09,Avocado Coffee / ICE,2
2024-07-09,Capuccino / ICE,1
2024-07-09,Kopi Aren / HOT,1
2024-07-09,Kopi Aren / ICE,2
2024-07-09,Mocha / ICE,2
2024-07-09,Salted Caramel Machiato / ICE,1
2024-07-10,Americano / HOT,2
2024-07-10,Avocado Coffee / ICE,2
2024-07-10,Capuccino / HOT,1
2024-07-10,Capuccino / ICE,2
2024-07-10,Kopi Aren / ICE,3
2024-07-10,Salted Caramel Machiato / ICE,1
2024-07-10,Signature Coffee / ICE,1
2024-07-11,Americano / ICE,2
2024-07-11,Butterscotch Coffee / ICE,1
2024-07-11,Hazelnut Coffee / ICE,2
2024-07-11,Kopi Aren / ICE,3
2024-07-11,Salted Caramel Machiato / ICE,1
2024-07-12,Americano / HOT,1
2024-07-12,Americano / ICE,2
2024-07-12,Butterscotch Coffee / ICE,1
2024-07-12,Capuccino / HOT,3
2024-07-12,Capuccino / ICE,3
2024-07-12,Hazelnut Coffee / ICE,1
2024-07-12,Kopi Aren / HOT,1
2024-07-12,Kopi Aren / ICE,1
2024-07-12,Kopi Pandan / ICE,1
2024-07-13,Americano / HOT,1
2024-07-13,Americano / ICE,2
2024-07-13,Butterscotch Coffee / ICE,1
2024-07-13,Capuccino / ICE,2
2024-07-13,Kopi Aren / ICE,5
2024-07-13,Oat Latte / ICE,1
2024-07-13,Signature Coffee / ICE,1
2024-07-14,Americano / HOT,1
2024-07-14,Americano / ICE,1
2024-07-14,Capuccino / ICE,1
2024-07-14,Hazelnut Coffee / HOT,1
2024-07-14,Hazelnut Coffee / ICE,3
2024-07-14,Kopi Aren / ICE,1
2024-07-14,Salted Caramel Machiato / ICE,1
2024-07-14,Signature Coffee / ICE,2
2024-07-15,Americano / ICE,1
2024-07-15,Espresso / HOT,1
2024-07-15,Hazelnut Coffee / ICE,1
2024-07-15,Kopi Aren / HOT,1
2024-07-15,Kopi Aren / ICE,5
2024-07-15,Matcha Coffee / ICE,2
2024-07-15,Salted Caramel Machiato / ICE,2
2024-07-16,Butterscotch Coffee / ICE,2
2024-07-16,Hazelnut Coffee / HOT,1
2024-07-16,Hazelnut Coffee / ICE,1
2024-07-16,Kopi Aren / HOT,3
2024-07-16,Kopi Aren / ICE,3
2024-07-16,Rum Coffee / ICE,1
2024-07-16,Salted Caramel Machiato / ICE,3
2024-07-17,Americano / ICE,1
2024-07-17,Butterscotch Coffee / ICE,2
2024-07-17,Espresso / ICE,1
2024-07-17,Hazelnut Coffee / HOT,3
2024-07-17,Kopi Aren / ICE,4
2024-07-17,Matcha Coffee / ICE,1
2024-07-17,Mocha / ICE,1
2024-07-18,Americano / ICE,3
2024-07-18,Capuccino / ICE,2
2024-07-18,Espresso / ICE,1
2024-07-18,Hazelnut Coffee / HOT,1
2024-07-18,Kopi Aren / ICE,3
2024-07-18,Signature Coffee / ICE,1
2024-07-19,Americano / ICE,1
2024-07-19,Avocado Coffee / ICE,1
2024-07-19,Butterscotch Coffee / ICE,3
2024-07-19,Capuccino / ICE,1
2024-07-19,Espresso / HOT,1
2024-07-19,Kopi Aren / ICE,4
2024-07-19,Kopi Pandan / HOT,2
2024-07-19,Salted Caramel Machiato,1
2024-07-19,Salted Caramel Machiato / HOT,1
2024-07-20,Americano / ICE,6
2024-07-20,Capuccino / ICE,1
2024-07-20,Hazelnut Coffee / ICE,2
2024-07-20,Kopi Aren / ICE,5
2024-07-20,Signature Coffee / HOT,2
2024-07-20,Signature Coffee / ICE,2
2024-07-21,Americano / ICE,1
2024-07-21,Avocado Coffee / ICE,1
2024-07-21,Capuccino / ICE,2
2024-07-21,Kopi Aren / ICE,9
2024-07-21,Longblack / ICE,1
2024-07-21,Matcha Coffee / ICE,1
2024-07-21,Salted Caramel Machiato / HOT,1
2024-07-22,Americano / ICE,1
2024-07-22,Avocado Coffee / ICE,1
2024-07-22,Capuccino / ICE,1
2024-07-22,Hazelnut Coffee / ICE,1
2024-07-22,Kopi Aren / ICE,5
2024-07-22,Signature Coffee / ICE,1
2024-07-23,Americano / ICE,2
2024-07-23,Kopi Aren / ICE,6
2024-07-23,Kopi Pandan / ICE,1
2024-07-23,Matcha Coffee / ICE,1
2024-07-23,Salted Caramel Machiato / ICE,2
2024-07-24,Americano / ICE,2
2024-07-24,Butterscotch Coffee / ICE,1
2024-07-24,Hazelnut Coffee / ICE,1
2024-07-24,Kopi Aren / HOT,1
2024-07-24,Kopi Aren / ICE,5
2024-07-24,Salted Caramel Machiato / ICE,1
2024-07-25,Americano / ICE,2
2024-07-25,Butterscotch Coffee / ICE,1
2024-07-25,Capuccino,1
2024-07-25,Hazelnut Coffee,1
2024-07-25,Kopi Aren / ICE,5
2024-07-25,Mocha / ICE,1
2024-07-25,Signature Coffee / ICE,1
2024-07-26,Americano / ICE,5
2024-07-26,Capuccino / ICE,5
2024-07-26,Hazelnut Coffee / ICE,1
2024-07-26,Kopi Aren / HOT,1
2024-07-26,Kopi Aren / ICE,1
2024-07-26,Longblack / HOT,1
2024-07-26,Mocha / ICE,1
2024-07-27,Americano / HOT,1
2024-07-27,Americano / ICE,2
2024-07-27,Butterscotch Coffee / ICE,3
2024-07-27,Capuccino / HOT,1
2024-07-27,Capuccino / ICE,1
2024-07-27,Hazelnut Coffee / ICE,1
2024-07-27,Kopi Aren / HOT,1
2024-07-27,Kopi Aren / ICE,4
2024-07-28,Americano / HOT,1
2024-07-28,Americano / ICE,2
2024-07-28,Capuccino / ICE,1
2024-07-28,Hazelnut Coffee / HOT,1
2024-07-28,Hazelnut Coffee / ICE,4
2024-07-28,Kopi Aren / HOT,3
2024-07-28,Kopi Aren / ICE,7
2024-07-28,Signature Coffee / ICE,1
2024-07-29,Americano / HOT,1
2024-07-29,Americano / ICE,2
2024-07-29,Hazelnut Coffee / ICE,1
2024-07-29,Kopi Aren / HOT,2
2024-07-29,Kopi Aren / ICE,1
2024-07-29,Signature Coffee / ICE,1
2024-07-30,Capuccino / ICE,2
2024-07-30,Hazelnut Coffee / ICE,2
2024-07-30,Kopi Aren / ICE,4
2024-07-30,Kopi Pandan / ICE,2
2024-07-30,Salted Caramel Machiato / ICE,1
2024-07-30,Signature Coffee / ICE,1
2024-07-31,Americano / ICE,2
2024-07-31,Butterscotch Coffee / ICE,2
2024-07-31,Hazelnut Coffee / ICE,1
2024-07-31,Kopi Aren / ICE,2
2024-07-31,Matcha Coffee / ICE,6
2024-08-01,Americano / ICE,1
2024-08-01,Butterscotch Coffee / ICE,2
2024-08-01,Capuccino / ICE,1
2024-08-01,Kopi Aren / HOT,2
2024-08-01,Kopi Aren / ICE,5
2024-08-02,Americano / HOT,1
2024-08-02,Americano / ICE,2
2024-08-02,Avocado Coffee / ICE,2
2024-08-02,Hazelnut Coffee / ICE,3
2024-08-02,Kopi Aren / ICE,7
2024-08-02,Kopi Pandan / ICE,1
2024-08-02,Salted Caramel Machiato / ICE,1
2024-08-02,Signature Coffee / ICE,2
2024-08-03,Americano / ICE,1
2024-08-03,Capuccino / ICE,2
2024-08-03,Hazelnut Coffee / HOT,1
2024-08-03,Kopi Aren / HOT,2
2024-08-03,Kopi Aren / ICE,2
2024-08-03,Salted Caramel Machiato / ICE,2
2024-08-03,Signature Coffee / ICE,5
