tanggal,Produk,penjualan
2024-05-08,Avocado Coffee,3
2024-05-08,Capuccino,1
2024-05-08,Hazelnut Coffee,1
2024-05-08,Kopi Aren,6
2024-05-08,Kopi Pandan,4
2024-05-08,Rum Coffee,1
2024-05-09,Americano,4
2024-05-09,Butterscotch Coffee,2
2024-05-09,Capuccino,2
2024-05-09,Hazelnut Coffee,5
2024-05-09,Kopi Aren,4
2024-05-09,Kopi Pandan,4
2024-05-09,Signature Coffee,1
2024-05-10,Americano,2
2024-05-10,Butterscotch Coffee,1
2024-05-10,Capuccino,4
2024-05-10,Hazelnut Coffee,2
2024-05-10,Kopi Aren,10
2024-05-10,Signature Coffee,1
2024-05-11,Americano,3
2024-05-11,Capuccino,2
2024-05-12,Americano,3
2024-05-12,Butterscotch Coffee,2
2024-05-12,Capuccino,2
2024-05-12,Espresso,1
2024-05-12,Hazelnut Coffee,1
2024-05-12,Kopi Aren,1
2024-05-12,Kopi Pandan,1
2024-05-12,Matcha Coffee,1
2024-05-12,Oat Latte,1
2024-05-12,Signature Coffee,1
2024-05-13,Avocado Coffee,2
2024-05-13,Butterscotch Coffee,1
2024-05-13,Capuccino,1
2024-05-13,Hazelnut Coffee,2
2024-05-13,Kopi Aren,7
2024-05-13,Rum Coffee,1
2024-05-14,Americano,2
2024-05-14,Avocado Coffee,3
2024-05-14,Butterscotch Coffee,3
2024-05-14,Capuccino,2
2024-05-14,Kopi Aren,5
2024-05-14,Matcha Coffee,1
2024-05-14,Rum Coffee,1
2024-05-15,Americano,3
2024-05-15,Butterscotch Coffee,2
2024-05-15,Capuccino,1
2024-05-15,Hazelnut Coffee,1
2024-05-15,Kopi Aren,7
2024-05-15,Matcha Coffee,1
2024-05-15,Rum Coffee,1
2024-05-16,Americano,1
2024-05-16,Butterscotch Coffee,1
2024-05-16,Capuccino,2
2024-05-16,Hazelnut Coffee,3
2024-05-16,Kopi Aren,3
2024-05-17,Americano,1
2024-05-17,Capuccino,1
2024-05-17,Hazelnut Coffee,2
2024-05-17,Kopi Aren,8
2024-05-17,Rum Coffee,1
2024-05-17,Signature Coffee,1
2024-05-18,Americano,3
2024-05-18,Avocado Coffee,1
2024-05-18,Butterscotch Coffee,2
2024-05-18,Capuccino,1
2024-05-18,Hazelnut Coffee,2
2024-05-18,Kopi Aren,8
2024-05-18,Rum Coffee,1
2024-05-19,Americano,1
2024-05-19,Butterscotch Coffee,2
2024-05-19,Capuccino,2
2024-05-19,Hazelnut Coffee,3
2024-05-19,Kopi Aren,5
2024-05-20,Americano,2
2024-05-20,Capuccino,3
2024-05-20,Hazelnut Coffee,1
2024-05-20,Kopi Aren,2
2024-05-20,Signature Coffee,1
2024-05-21,Americano,3
2024-05-21,Avocado Coffee,1
2024-05-21,Butterscotch Coffee,2
2024-05-21,Kopi Aren,4
2024-05-22,Americano,1
2024-05-22,Avocado Coffee,1
2024-05-22,Kopi Aren,1
2024-05-23,Avocado Coffee,1
2024-05-23,Butterscotch Coffee,2
2024-05-23,Hazelnut Coffee,1
2024-05-23,Kopi Aren,1
2024-05-23,Signature Coffee,1
2024-05-24,Americano,3
2024-05-24,Avocado Coffee,1
2024-05-24,Hazelnut Coffee,2
2024-05-24,Kopi Aren,8
2024-05-24,Kopi Pandan,1
2024-05-25,Americano,5
2024-05-25,Butterscotch Coffee,2
2024-05-25,Capuccino,1
2024-05-25,Hazelnut Coffee,2
2024-05-25,Kopi Aren,10
2024-05-26,Americano,1
2024-05-26,Butterscotch Coffee,1
2024-05-26,Capuccino,3
2024-05-26,Hazelnut Coffee,3
2024-05-26,Kopi Aren,4
2024-05-26,Rum Coffee,1
2024-05-27,Americano,3
2024-05-27,Avocado Coffee,1
2024-05-27,Butterscotch Coffee,4
2024-05-27,Capuccino,4
2024-05-27,Hazelnut Coffee,2
2024-05-27,Kopi Aren,11
2024-05-27,Rum Coffee,5
2024-05-28,Americano,3
2024-05-28,Hazelnut Coffee,2
2024-05-28,Kopi Aren,3
2024-05-28,Matcha Coffee,1
2024-05-29,Americano,2
2024-05-29,Capuccino,1
2024-05-29,Kopi Aren,5
2024-05-30,Americano,2
2024-05-30,Butterscotch Coffee,1
2024-05-30,Capuccino,1
2024-05-30,Kopi Aren,2
2024-05-30,Signature Coffee,1
2024-05-31,Americano,3
2024-05-31,Avocado Coffee,1
2024-05-31,Butterscotch Coffee,1
2024-05-31,Capuccino,5
2024-05-31,Hazelnut Coffee,4
2024-05-31,Kopi Aren,4
2024-05-31,Signature Coffee,1
2024-06-01,Americano,5
2024-06-01,Avocado Coffee,1
2024-06-01,Capuccino,2
2024-06-01,Hazelnut Coffee,2
2024-06-01,Kopi Aren,6
2024-06-01,Signature Coffee,4
2024-06-02,Americano,3
2024-06-02,Butterscotch Coffee,3
2024-06-02,Capuccino,3
2024-06-02,Hazelnut Coffee,1
2024-06-02,Kopi Aren,5
2024-06-03,Americano,2
2024-06-03,Butterscotch Coffee,1
2024-06-03,Capuccino,1
2024-06-03,Hazelnut Coffee,4
2024-06-03,Kopi Aren,10
2024-06-03,Signature Coffee,1
2024-06-04,Americano,7
2024-06-04,Capuccino,2
2024-06-04,Hazelnut Coffee,8
2024-06-04,Kopi Aren,7
2024-06-04,Kopi Pandan,1
2024-06-05,Americano,3
2024-06-05,Capuccino,1
2024-06-05,Hazelnut Coffee,2
2024-06-05,Kopi Aren,5
2024-06-05,Signature Coffee,1
2024-06-06,Americano,1
2024-06-06,Capuccino,2
2024-06-06,Hazelnut Coffee,2
2024-06-06,Kopi Aren,3
2024-06-06,Rum Coffee,1
2024-06-07,Americano,2
2024-06-07,Butterscotch Coffee,1
2024-06-07,Capuccino,4
2024-06-07,Hazelnut Coffee,1
2024-06-07,Kopi Aren,9
2024-06-07,Kopi Pandan,3
2024-06-07,Signature Coffee,3
2024-06-08,Americano,5
2024-06-08,Avocado Coffee,1
2024-06-08,Butterscotch Coffee,2
2024-06-08,Capuccino,3
2024-06-08,Espresso,1
2024-06-08,Hazelnut Coffee,1
2024-06-08,Kopi Aren,12
2024-06-08,Matcha Coffee,1
2024-06-08,Rum Coffee,3
2024-06-09,Americano,4
2024-06-09,Capuccino,3
2024-06-09,Hazelnut Coffee,2
2024-06-09,Kopi Aren,3
2024-06-09,Kopi Pandan,1
2024-06-09,Signature Coffee,3
2024-06-10,Americano,4
2024-06-10,Avocado Coffee,2
2024-06-10,Butterscotch Coffee,1
2024-06-10,Capuccino,6
2024-06-10,Hazelnut Coffee,3
2024-06-10,Kopi Aren,7
2024-06-10,Kopi Pandan,1
2024-06-10,Matcha Coffee,1
2024-06-11,Americano,3
2024-06-11,Butterscotch Coffee,1
2024-06-11,Capuccino,1
2024-06-11,Espresso,1
2024-06-11,Hazelnut Coffee,1
2024-06-11,Kopi Aren,7
2024-06-11,Signature Coffee,2
2024-06-12,Americano,1
2024-06-12,Avocado Coffee,1
2024-06-12,Butterscotch Coffee,2
2024-06-12,Capuccino,2
2024-06-12,Espresso,3
2024-06-12,Hazelnut Coffee,4
2024-06-12,Kopi Aren,6
2024-06-13,Americano,1
2024-06-13,Avocado Coffee,1
2024-06-13,Butterscotch Coffee,1
2024-06-13,Capuccino,1
2024-06-13,Espresso,1
2024-06-13,Hazelnut Coffee,1
2024-06-13,Kopi Aren,2
2024-06-13,Kopi Pandan,1
2024-06-13,Strawberry Coffee,1
2024-06-14,Americano,5
2024-06-14,Avocado Coffee,2
2024-06-14,Butterscotch Coffee,2
2024-06-14,Capuccino,1
2024-06-14,Hazelnut Coffee,2
2024-06-14,Kopi Aren,6
2024-06-14,Matcha Coffee,1
2024-06-14,Rum Coffee,2
2024-06-15,Americano,5
2024-06-15,Avocado Coffee,4
2024-06-15,Butterscotch Coffee,2
2024-06-15,Capuccino,6
2024-06-15,Hazelnut Coffee,2
2024-06-15,Kopi Aren,5
2024-06-15,Kopi Pandan,1
2024-06-15,Rum Coffee,1
2024-06-15,Signature Coffee,1
2024-06-16,Americano,5
2024-06-16,Butterscotch Coffee,2
2024-06-16,Capuccino,2
2024-06-16,Hazelnut Coffee,2
2024-06-16,Kopi Aren,11
2024-06-16,Matcha Coffee,3
2024-06-16,Signature Coffee,1
2024-06-17,Americano,2
2024-06-17,Butterscotch Coffee,1
2024-06-17,Capuccino,1
2024-06-17,Espresso,1
2024-06-17,Hazelnut Coffee,2
2024-06-17,Kopi Aren,11
2024-06-17,Signature Coffee,2
2024-06-18,Americano,8
2024-06-18,Avocado Coffee,1
2024-06-18,Butterscotch Coffee,1
2024-06-18,Capuccino,4
2024-06-18,Espresso,1
2024-06-18,Hazelnut Coffee,1
2024-06-18,Kopi Aren,3
2024-06-18,Matcha Coffee,1
2024-06-19,Americano,1
2024-06-19,Butterscotch Coffee,2
2024-06-19,Capuccino,1
2024-06-19,Espresso,4
2024-06-19,Hazelnut Coffee,3
2024-06-19,Kopi Aren,3
2024-06-19,Signature Coffee,1
2024-06-20,Americano,4
2024-06-20,Avocado Coffee,1
2024-06-20,Capuccino,4
2024-06-20,Hazelnut Coffee,1
2024-06-20,Kopi Aren,3
2024-06-20,Kopi Pandan,1
2024-06-21,Americano,3
2024-06-21,Avocado Coffee,2
2024-06-21,Butterscotch Coffee,3
2024-06-21,Capuccino,2
2024-06-21,Hazelnut Coffee,2
2024-06-21,Kopi Aren,22
2024-06-21,Matcha Coffee,1
2024-06-21,Signature Coffee,1
2024-06-22,Americano,4
2024-06-22,Butterscotch Coffee,4
2024-06-22,Capuccino,4
2024-06-22,Espresso,1
2024-06-22,Hazelnut Coffee,2
2024-06-22,Kopi Aren,12
2024-06-22,Rum Coffee,1
2024-06-23,Butterscotch Coffee,1
2024-06-23,Capuccino,5
2024-06-23,Hazelnut Coffee,1
2024-06-23,Kopi Aren,6
2024-06-23,Kopi Pandan,1
2024-06-23,Matcha Coffee,1
2024-06-23,Rum Coffee,4
2024-06-24,Capuccino,4
2024-06-24,Hazelnut Coffee,1
2024-06-24,Kopi Aren,9
2024-06-24,Signature Coffee,1
2024-06-25,Americano,2
2024-06-25,Butterscotch Coffee,1
2024-06-25,Hazelnut Coffee,4
2024-06-25,Kopi Aren,2
2024-06-25,Oat Latte,1
2024-06-25,Rum Coffee,2
2024-06-26,Americano,4
2024-06-26,Avocado Coffee,1
2024-06-26,Butterscotch Coffee,2
2024-06-26,Capuccino,4
2024-06-26,Espresso,1
2024-06-26,Hazelnut Coffee,2
2024-06-26,Kopi Aren,8
2024-06-26,Rum Coffee,1
2024-06-26,Signature Coffee,2
2024-06-27,Avocado Coffee,1
2024-06-27,Butterscotch Coffee,5
2024-06-27,Capuccino,2
2024-06-27,Hazelnut Coffee,2
2024-06-27,Kopi Aren,7
2024-06-27,Rum Coffee,1
2024-06-28,Butterscotch Coffee,1
2024-06-28,Capuccino,4
2024-06-28,Kopi Aren,8
2024-06-28,Rum Coffee,1
2024-06-29,Americano,7
2024-06-29,Avocado Coffee,1
2024-06-29,Butterscotch Coffee,1
2024-06-29,Capuccino,5
2024-06-29,Espresso,1
2024-06-29,Hazelnut Coffee,2
2024-06-29,Kopi Aren,7
2024-06-29,Kopi Pandan,7
2024-06-29,Rum Coffee,1
2024-06-29,Signature Coffee,1
2024-06-30,Americano,6
2024-06-30,Butterscotch Coffee,5
2024-06-30,Capuccino,2
2024-06-30,Hazelnut Coffee,2
2024-06-30,Kopi Aren,10
2024-06-30,Matcha Coffee,2
2024-06-30,Strawberry Coffee,1
2024-07-01,Americano,3
2024-07-01,Avocado Coffee,1
2024-07-01,Capuccino,2
2024-07-01,Hazelnut Coffee,3
2024-07-01,Kopi Aren,2
2024-07-01,Signature Coffee,3
2024-07-02,Americano,4
2024-07-02,Capuccino,1
2024-07-02,Espresso,1
2024-07-02,Kopi Aren,5
2024-07-02,Matcha Coffee,1
2024-07-02,Oat Latte,1
2024-07-02,Rum Coffee,1
2024-07-02,Signature Coffee,1
2024-07-03,Americano,4
2024-07-03,Avocado Coffee,1
2024-07-03,Butterscotch Coffee,2
2024-07-03,Capuccino,2
2024-07-03,Espresso,1
2024-07-03,Kopi Aren,6
2024-07-03,Kopi Pandan,2
2024-07-03,Matcha Coffee,2
2024-07-03,Rum Coffee,1
2024-07-03,Signature Coffee,1
2024-07-04,Capuccino,4
2024-07-04,Hazelnut Coffee,4
2024-07-04,Kopi Aren,4
2024-07-05,Americano,2
2024-07-05,Avocado Coffee,1
2024-07-05,Butterscotch Coffee,2
2024-07-05,Capuccino,3
2024-07-05,Hazelnut Coffee,1
2024-07-05,Kopi Aren,8
2024-07-05,Kopi Pandan,1
2024-07-05,Signature Coffee,1
2024-07-06,Americano,3
2024-07-06,Butterscotch Coffee,1
2024-07-06,Hazelnut Coffee,1
2024-07-06,Kopi Aren,7
2024-07-06,Matcha Coffee,1
2024-07-06,Rum Coffee,1
2024-07-07,Americano,4
2024-07-07,Butterscotch Coffee,5
2024-07-07,Capuccino,1
2024-07-07,Espresso,1
2024-07-07,Hazelnut Coffee,1
2024-07-07,Kopi Aren,8
2024-07-07,Signature Coffee,1
2024-07-07,Strawberry Coffee,1
2024-07-08,Americano,5
2024-07-08,Butterscotch Coffee,1
2024-07-08,Capuccino,2
2024-07-08,Kopi Aren,6
2024-07-09,Americano,4
2024-07-09,Butterscotch Coffee,4
2024-07-09,Capuccino,5
2024-07-09,Kopi Aren,12
2024-07-10,Americano,1
2024-07-10,Butterscotch Coffee,1
2024-07-10,Capuccino,4
2024-07-10,Kopi Aren,8
2024-07-10,Matcha Coffee,2
2024-07-10,Signature Coffee,1
2024-07-11,Butterscotch Coffee,1
2024-07-11,Capuccino,3
2024-07-11,Hazelnut Coffee,1
2024-07-11,Kopi Aren,5
2024-07-12,Americano,5
2024-07-12,Butterscotch Coffee,1
2024-07-12,Capuccino,4
2024-07-12,Hazelnut Coffee,3
2024-07-12,Kopi Aren,8
2024-07-13,Americano,2
2024-07-13,Avocado Coffee,1
2024-07-13,Butterscotch Coffee,4
2024-07-13,Capuccino,1
2024-07-13,Espresso,1
2024-07-13,Hazelnut Coffee,4
2024-07-13,Kopi Aren,7
2024-07-13,Kopi Pandan,1
2024-07-13,Rum Coffee,3
2024-07-13,Signature Coffee,1
2024-07-14,Americano,5
2024-07-14,Capuccino,1
2024-07-14,Hazelnut Coffee,3
2024-07-14,Kopi Aren,8
2024-07-14,Signature Coffee,4
2024-07-14,Strawberry Coffee,1
2024-07-15,Americano,5
2024-07-15,Butterscotch Coffee,2
2024-07-15,Capuccino,5
2024-07-15,Hazelnut Coffee,1
2024-07-15,Kopi Aren,16
2024-07-15,Kopi Pandan,1
2024-07-16,Butterscotch Coffee,1
2024-07-16,Capuccino,2
2024-07-16,Kopi Aren,5
2024-07-16,Rum Coffee,1
2024-07-17,Avocado Coffee,1
2024-07-17,Capuccino,3
2024-07-17,Espresso,1
2024-07-17,Hazelnut Coffee,1
2024-07-17,Kopi Aren,6
2024-07-17,Matcha Coffee,1
2024-07-17,Rum Coffee,1
2024-07-18,Americano,2
2024-07-18,Avocado Coffee,3
2024-07-18,Butterscotch Coffee,2
2024-07-18,Capuccino,5
2024-07-18,Hazelnut Coffee,3
2024-07-18,Kopi Aren,10
2024-07-18,Matcha Coffee,1
2024-07-18,Oat Latte,1
2024-07-18,Rum Coffee,1
2024-07-18,Strawberry Coffee,1
2024-07-19,Americano,4
2024-07-19,Butterscotch Coffee,3
2024-07-19,Capuccino,1
2024-07-19,Hazelnut Coffee,2
2024-07-19,Kopi Aren,6
2024-07-20,Americano,6
2024-07-20,Avocado Coffee,2
2024-07-20,Butterscotch Coffee,1
2024-07-20,Capuccino,3
2024-07-20,Hazelnut Coffee,4
2024-07-20,Kopi Aren,11
2024-07-20,Matcha Coffee,2
2024-07-20,Signature Coffee,1
2024-07-21,Americano,10
2024-07-21,Butterscotch Coffee,3
2024-07-21,Capuccino,6
2024-07-21,Hazelnut Coffee,3
2024-07-21,Kopi Aren,9
2024-07-21,Kopi Pandan,1
2024-07-21,Rum Coffee,1
2024-07-21,Signature Coffee,1
2024-07-22,Americano,2
2024-07-22,Avocado Coffee,1
2024-07-22,Butterscotch Coffee,4
2024-07-22,Capuccino,5
2024-07-22,Hazelnut Coffee,3
2024-07-22,Kopi Aren,2
2024-07-23,Americano,3
2024-07-23,Avocado Coffee,2
2024-07-23,Butterscotch Coffee,2
2024-07-23,Capuccino,3
2024-07-23,Hazelnut Coffee,7
2024-07-23,Kopi Aren,5
2024-07-23,Rum Coffee,1
2024-07-23,Signature Coffee,1
2024-07-24,Americano,1
2024-07-24,Capuccino,7
2024-07-24,Kopi Aren,6
2024-07-24,Kopi Pandan,2
2024-07-24,Rum Coffee,2
2024-07-24,Signature Coffee,1
2024-07-25,Americano,5
2024-07-25,Butterscotch Coffee,1
2024-07-25,Capuccino,3
2024-07-25,Hazelnut Coffee,2
2024-07-25,Kopi Aren,5
2024-07-25,Kopi Pandan,2
2024-07-25,Matcha Coffee,1
2024-07-25,Signature Coffee,1
2024-07-26,Americano,1
2024-07-26,Butterscotch Coffee,1
2024-07-26,Capuccino,2
2024-07-26,Espresso,1
2024-07-26,Hazelnut Coffee,4
2024-07-26,Kopi Aren,8
2024-07-26,Kopi Pandan,1
2024-07-27,Americano,7
2024-07-27,Butterscotch Coffee,1
2024-07-27,Capuccino,7
2024-07-27,Hazelnut Coffee,4
2024-07-27,Kopi Aren,7
2024-07-27,Matcha Coffee,1
2024-07-28,Americano,2
2024-07-28,Avocado Coffee,1
2024-07-28,Butterscotch Coffee,1
2024-07-28,Capuccino,4
2024-07-28,Hazelnut Coffee,2
2024-07-28,Kopi Aren,5
2024-07-28,Kopi Pandan,1
2024-07-29,Americano,6
2024-07-29,Butterscotch Coffee,3
2024-07-29,Capuccino,1
2024-07-29,Kopi Aren,8
2024-07-30,Americano,2
2024-07-30,Butterscotch Coffee,2
2024-07-30,Capuccino,2
2024-07-30,Espresso,1
2024-07-30,Hazelnut Coffee,1
2024-07-30,Kopi Aren,6
2024-07-31,Americano,1
2024-07-31,Butterscotch Coffee,1
2024-07-31,Capuccino,6
2024-07-31,Hazelnut Coffee,3
2024-07-31,Kopi Aren,8
2024-07-31,Strawberry Coffee,2
2024-08-01,Americano,5
2024-08-01,Capuccino,3
2024-08-01,Espresso,1
2024-08-01,Hazelnut Coffee,4
2024-08-01,Kopi Aren,3
2024-08-01,Kopi Pandan,1
2024-08-01,Matcha Coffee,2
2024-08-01,Rum Coffee,1
2024-08-01,Signature Coffee,1
2024-08-02,Americano,6
2024-08-02,Avocado Coffee,1
2024-08-02,Butterscotch Coffee,3
2024-08-02,Capuccino,2
2024-08-02,Espresso,3
2024-08-02,Hazelnut Coffee,2
2024-08-02,Kopi Aren,16
2024-08-02,Rum Coffee,3
2024-08-02,Strawberry Coffee,1
2024-08-03,Americano,1
2024-08-03,Capuccino,1
2024-08-03,Espresso,1
2024-08-03,Hazelnut Coffee,2
2024-08-03,Kopi Aren,7
2024-08-04,Americano,2
2024-08-04,Avocado Coffee,2
2024-08-04,Butterscotch Coffee,2
2024-08-04,Capuccino,3
2024-08-04,Hazelnut Coffee,4
2024-08-04,Kopi Aren,12
2024-08-04,Matcha Coffee,1
2024-08-04,Rum Coffee,1
2024-08-05,Americano,4
2024-08-05,Butterscotch Coffee,1
2024-08-05,Hazelnut Coffee,1
2024-08-05,Kopi Aren,3
2024-08-05,Kopi Pandan,1
2024-08-06,Americano,3
2024-08-06,Capuccino,2
2024-08-06,Hazelnut Coffee,1
2024-08-06,Kopi Aren,1
2024-08-06,Oat Latte,1
2024-08-06,Strawberry Coffee,1
2024-08-07,Americano,7
2024-08-07,Capuccino,5
2024-08-07,Hazelnut Coffee,8
2024-08-07,Kopi Aren,9
2024-08-08,Americano,13
2024-08-08,Capuccino,1
2024-08-08,Kopi Aren,10
2024-08-08,Signature Coffee,2
2024-08-09,Americano,5
2024-08-09,Butterscotch Coffee,1
2024-08-09,Capuccino,1
2024-08-09,Hazelnut Coffee,1
2024-08-09,Kopi Aren,7
2024-08-09,Rum Coffee,1
2024-08-09,Signature Coffee,1
2024-08-09,Strawberry Coffee,1
2024-08-10,Americano,7
2024-08-10,Butterscotch Coffee,5
2024-08-10,Capuccino,2
2024-08-10,Hazelnut Coffee,9
2024-08-10,Kopi Aren,12
2024-08-10,Oat Latte,2
2024-08-10,Signature Coffee,2
2024-08-11,Americano,12
2024-08-11,Butterscotch Coffee,2
2024-08-11,Capuccino,11
2024-08-11,Hazelnut Coffee,3
2024-08-11,Kopi Aren,11
2024-08-11,Kopi Pandan,2
2024-08-11,Rum Coffee,2
2024-08-11,Strawberry Coffee,2
2024-08-12,Americano,3
2024-08-12,Butterscotch Coffee,1
2024-08-12,Capuccino,2
2024-08-12,Espresso,1
2024-08-12,Hazelnut Coffee,3
2024-08-12,Kopi Aren,3
2024-08-12,Rum Coffee,2
2024-08-12,Signature Coffee,2
2024-08-13,Americano,1
2024-08-13,Butterscotch Coffee,1
2024-08-13,Capuccino,1
2024-08-13,Hazelnut Coffee,2
2024-08-13,Kopi Aren,6
2024-08-13,Rum Coffee,1
2024-08-13,Signature Coffee,1
2024-08-14,Americano,2
2024-08-14,Butterscotch Coffee,3
2024-08-14,Capuccino,2
2024-08-14,Hazelnut Coffee,1
2024-08-14,Kopi Aren,8
2024-08-15,Americano,4
2024-08-15,Avocado Coffee,1
2024-08-15,Butterscotch Coffee,1
2024-08-15,Capuccino,3
2024-08-15,Hazelnut Coffee,2
2024-08-15,Kopi Aren,10
2024-08-15,Rum Coffee,1
2024-08-16,Americano,3
2024-08-16,Avocado Coffee,1
2024-08-16,Butterscotch Coffee,1
2024-08-16,Capuccino,5
2024-08-16,Hazelnut Coffee,3
2024-08-16,Kopi Aren,10
2024-08-17,Americano,7
2024-08-17,Avocado Coffee,2
2024-08-17,Butterscotch Coffee,5
2024-08-17,Capuccino,5
2024-08-17,Espresso,1
2024-08-17,Hazelnut Coffee,5
2024-08-17,Kopi Aren,5
2024-08-17,Kopi Pandan,1
2024-08-17,Rum Coffee,6
2024-08-17,Signature Coffee,3
2024-08-18,Americano,3
2024-08-18,Avocado Coffee,3
2024-08-18,Butterscotch Coffee,4
2024-08-18,Capuccino,5
2024-08-18,Espresso,1
2024-08-18,Hazelnut Coffee,5
2024-08-18,Kopi Aren,3
2024-08-18,Kopi Pandan,1
2024-08-18,Signature Coffee,2
2024-08-19,Americano,2
2024-08-19,Butterscotch Coffee,1
2024-08-19,Capuccino,1
2024-08-19,Hazelnut Coffee,1
2024-08-19,Kopi Aren,7
2024-08-19,Matcha Coffee,2
2024-08-20,Americano,6
2024-08-20,Butterscotch Coffee,1
2024-08-20,Capuccino,2
2024-08-20,Espresso,3
2024-08-20,Hazelnut Coffee,2
2024-08-20,Kopi Aren,4
2024-08-21,Americano,6
2024-08-21,Butterscotch Coffee,2
2024-08-21,Capuccino,2
2024-08-21,Espresso,1
2024-08-21,Hazelnut Coffee,1
2024-08-21,Kopi Aren,6
2024-08-21,Matcha Coffee,3
2024-08-21,Rum Coffee,1
2024-08-21,Signature Coffee,2
